number,,,,,,car_type
1,,,,,,0
2,,,,,,2
3,,,,,,2
4,,,,,,0
5,,,,,,2
6,,,,,,0
7,,,,,,0
8,,,,,,0
9,,,,,,2
10,,,,,,2
11,,,,,,0
12,,,,,,0
13,,,,,,2
14,,,,,,2
15,,,,,,2
16,,,,,,0
17,,,,,,2
18,,,,,,2
19,,,,,,2
20,,,,,,2
21,,,,,,0
22,,,,,,1
23,,,,,,0
24,,,,,,2
25,,,,,,2
26,,,,,,1
27,,,,,,2
28,,,,,,0
29,,,,,,2
30,,,,,,0
31,,,,,,1
32,,,,,,0
33,,,,,,2
34,,,,,,2
35,,,,,,1
36,,,,,,2
37,,,,,,2
38,,,,,,2
39,,,,,,2
40,,,,,,2
41,,,,,,2
42,,,,,,2
43,,,,,,1
44,,,,,,2
45,,,,,,1
46,,,,,,2
47,,,,,,2
48,,,,,,2
49,,,,,,2
50,,,,,,2
51,,,,,,0
52,,,,,,0
53,,,,,,2
54,,,,,,0
55,,,,,,2
56,,,,,,0
57,,,,,,0
58,,,,,,0
59,,,,,,2
60,,,,,,0
61,,,,,,2
62,,,,,,0
63,,,,,,2
64,,,,,,1
65,,,,,,2
66,,,,,,0
67,,,,,,2
68,,,,,,0
69,,,,,,2
70,,,,,,0
71,,,,,,2
72,,,,,,0
73,,,,,,2
74,,,,,,2
75,,,,,,2
76,,,,,,2
77,,,,,,2
78,,,,,,2
79,,,,,,2
80,,,,,,2
81,,,,,,2
82,,,,,,2
83,,,,,,2
84,,,,,,2
85,,,,,,2
86,,,,,,2
87,,,,,,2
88,,,,,,2
89,,,,,,2
90,,,,,,2
91,,,,,,2
92,,,,,,2
93,,,,,,2
94,,,,,,2
95,,,,,,2
96,,,,,,2
97,,,,,,2
98,,,,,,2
99,,,,,,2
100,,,,,,1
101,,,,,,2
102,,,,,,0
103,,,,,,0
104,,,,,,0
105,,,,,,2
106,,,,,,1
107,,,,,,0
108,,,,,,0
109,,,,,,0
110,,,,,,0
111,,,,,,2
112,,,,,,0
113,,,,,,2
114,,,,,,0
115,,,,,,0
116,,,,,,2
117,,,,,,0
118,,,,,,2
119,,,,,,0
120,,,,,,0
121,,,,,,2
122,,,,,,2
123,,,,,,0
124,,,,,,2
125,,,,,,2
126,,,,,,0
127,,,,,,0
128,,,,,,0
129,,,,,,2
130,,,,,,0
131,,,,,,0
132,,,,,,2
133,,,,,,0
134,,,,,,1
135,,,,,,0
136,,,,,,2
137,,,,,,0
138,,,,,,0
139,,,,,,0
140,,,,,,0
141,,,,,,0
142,,,,,,1
143,,,,,,0
144,,,,,,2
145,,,,,,2
146,,,,,,2
147,,,,,,2
148,,,,,,2
149,,,,,,0
150,,,,,,0
151,,,,,,2
152,,,,,,2
153,,,,,,2
154,,,,,,2
155,,,,,,2
156,,,,,,2
157,,,,,,2
158,,,,,,2
159,,,,,,2
160,,,,,,0
161,,,,,,2
162,,,,,,2
163,,,,,,2
164,,,,,,2
165,,,,,,2
166,,,,,,0
167,,,,,,2
168,,,,,,2
169,,,,,,2
170,,,,,,2
171,,,,,,2
172,,,,,,0
173,,,,,,2
174,,,,,,2
175,,,,,,2
176,,,,,,2
177,,,,,,2
178,,,,,,0
179,,,,,,2
180,,,,,,2
181,,,,,,2
182,,,,,,2
183,,,,,,2
184,,,,,,2
185,,,,,,2
186,,,,,,2
187,,,,,,0
188,,,,,,2
189,,,,,,2
190,,,,,,2
191,,,,,,2
192,,,,,,2
193,,,,,,2
194,,,,,,2
195,,,,,,2
196,,,,,,2
197,,,,,,2
198,,,,,,2
199,,,,,,0
200,,,,,,2
201,,,,,,2
202,,,,,,2
203,,,,,,1
204,,,,,,2
205,,,,,,0
206,,,,,,2
207,,,,,,2
208,,,,,,2
209,,,,,,2
210,,,,,,2
211,,,,,,2
212,,,,,,2
213,,,,,,2
214,,,,,,2
215,,,,,,2
216,,,,,,2
217,,,,,,2
218,,,,,,2
219,,,,,,2
220,,,,,,2
221,,,,,,2
222,,,,,,2
223,,,,,,2
224,,,,,,2
225,,,,,,2
226,,,,,,1
227,,,,,,0
228,,,,,,1
229,,,,,,2
230,,,,,,2
231,,,,,,1
232,,,,,,2
233,,,,,,0
234,,,,,,0
235,,,,,,0
236,,,,,,0
237,,,,,,0
238,,,,,,0
239,,,,,,2
240,,,,,,0
241,,,,,,2
242,,,,,,2
243,,,,,,0
244,,,,,,2
245,,,,,,0
246,,,,,,2
247,,,,,,2
248,,,,,,2
249,,,,,,2
250,,,,,,2
251,,,,,,2
252,,,,,,2
253,,,,,,1
254,,,,,,1
255,,,,,,2
256,,,,,,2
257,,,,,,2
258,,,,,,2
259,,,,,,2
260,,,,,,2
261,,,,,,2
262,,,,,,2
263,,,,,,1
264,,,,,,1
265,,,,,,1
266,,,,,,1
267,,,,,,2
268,,,,,,1
269,,,,,,2
270,,,,,,1
271,,,,,,2
272,,,,,,1
273,,,,,,2
274,,,,,,2
275,,,,,,2
276,,,,,,2
277,,,,,,2
278,,,,,,2
279,,,,,,2
280,,,,,,2
281,,,,,,2
282,,,,,,2
283,,,,,,1
284,,,,,,1
285,,,,,,1
286,,,,,,2
287,,,,,,2
288,,,,,,1
289,,,,,,2
290,,,,,,2
291,,,,,,0
292,,,,,,2
293,,,,,,0
294,,,,,,2
295,,,,,,0
296,,,,,,2
297,,,,,,0
298,,,,,,2
299,,,,,,2
300,,,,,,2
301,,,,,,2
302,,,,,,2
303,,,,,,2
304,,,,,,2
305,,,,,,2
306,,,,,,2
307,,,,,,0
308,,,,,,0
309,,,,,,2
310,,,,,,2
311,,,,,,2
312,,,,,,1
313,,,,,,2
314,,,,,,2
315,,,,,,2
316,,,,,,2
317,,,,,,2
318,,,,,,2
